DATE,GNPDEF_NBD19820101
1989/1/1,33.89577
1989/4/1,33.9498
1989/7/1,34.08071
1989/10/1,34.2137
1990/1/1,34.35292
1990/4/1,34.43812
1990/7/1,34.55656
1990/10/1,34.65838
1991/1/1,34.73319
1991/4/1,34.81423
1991/7/1,34.90566
1991/10/1,35.01579
1992/1/1,35.19658
1992/4/1,35.25476
1992/7/1,35.32957
1992/10/1,35.40437
1993/1/1,35.55814
1993/4/1,35.62048
1993/7/1,35.66827
1993/10/1,35.95919
1994/1/1,36.0714
1994/4/1,36.15452
1994/7/1,36.29998
1994/10/1,36.46413
1995/1/1,36.64907
1995/4/1,36.81739
1995/7/1,36.96077
1995/10/1,37.21428
1996/1/1,37.45532
1996/4/1,37.76078
1996/7/1,38.12651
1996/10/1,38.44651
1997/1/1,38.60652
1997/4/1,38.80185
1997/7/1,39.1738
1997/10/1,39.61017
1998/1/1,40.0507
1998/4/1,40.47253
1998/7/1,40.8715
1998/10/1,41.4471
1999/1/1,41.87308
1999/4/1,42.40504
1999/7/1,43.00141
1999/10/1,43.55623
2000/1/1,44.16923
2000/4/1,44.78639
2000/7/1,45.15419
2000/10/1,45.75056
2001/1/1,46.44668
2001/4/1,47.0576
2001/7/1,47.53761
2001/10/1,47.9345
2002/1/1,48.66179
2002/4/1,48.96517
2002/7/1,49.43479
2002/10/1,50.06649
2003/1/1,50.64625
2003/4/1,51.42756
2003/7/1,52.42706
2003/10/1,53.47436
2004/1/1,54.47802
2004/4/1,55.7622
2004/7/1,57.39548
2004/10/1,59.08071
2005/1/1,60.42723
2005/4/1,61.32491
2005/7/1,62.41376
2005/10/1,63.45898
2006/1/1,64.13432
2006/4/1,64.78472
2006/7/1,65.62422
2006/10/1,66.80035
2007/1/1,67.87258
2007/4/1,68.83468
2007/7/1,69.67625
2007/10/1,71.17862
2008/1/1,72.21137
2008/4/1,73.59737
2008/7/1,74.84623
2008/10/1,76.37977
2009/1/1,77.77201
2009/4/1,79.67127
2009/7/1,81.4126
2009/10/1,82.92536
2010/1/1,84.66669
2010/4/1,86.68024
2010/7/1,88.61691
2010/10/1,90.92553
2011/1/1,93.3235
2011/4/1,95.17081
2011/7/1,96.96617
2011/10/1,98.64517
2012/1/1,100
2012/4/1,101.29665
2012/7/1,102.73252
2012/10/1,103.79852
2013/1/1,104.58607
2013/4/1,105.36738
2013/7/1,106.48741
2013/10/1,107.29781
2014/1/1,108.38459
2014/4/1,109.31344
2014/7/1,110.28177
2014/10/1,111.10257
2015/1/1,112.19766
2015/4/1,112.93118
2015/7/1,113.60859
2015/10/1,114.24861
2016/1/1,114.81174
2016/4/1,115.25226
2016/7/1,115.73643
2016/10/1,116.37229
2017/1/1,117.12659
2017/4/1,117.94323
2017/7/1,118.83883
2017/10/1,119.78639
2018/1/1,120.72563
2018/4/1,121.90175
2018/7/1,123.36049
2018/10/1,124.42856
