DATE,GNPC96_NBD19820101
1989/1/1,45.71211
1989/4/1,46.73765
1989/7/1,46.7904
1989/10/1,46.94016
1990/1/1,47.97725
1990/4/1,47.72657
1990/7/1,47.97125
1990/10/1,47.37663
1991/1/1,47.71297
1991/4/1,48.49971
1991/7/1,49.43178
1991/10/1,50.40216
1992/1/1,51.29281
1992/4/1,51.78593
1992/7/1,52.42124
1992/10/1,52.64762
1993/1/1,53.19761
1993/4/1,53.77494
1993/7/1,54.95591
1993/10/1,55.32636
1994/1/1,56.5208
1994/4/1,57.11385
1994/7/1,58.01249
1994/10/1,58.15902
1995/1/1,59.61253
1995/4/1,60.37496
1995/7/1,61.67278
1995/10/1,63.04283
1996/1/1,64.58148
1996/4/1,64.80138
1996/7/1,65.33692
1996/10/1,65.8883
1997/1/1,66.46254
1997/4/1,66.49082
1997/7/1,67.15947
1997/10/1,67.64898
1998/1/1,69.03099
1998/4/1,70.18604
1998/7/1,70.74048
1998/10/1,71.01318
1999/1/1,72.11904
1999/4/1,72.31883
1999/7/1,72.77235
1999/10/1,72.41939
2000/1/1,72.32445
2000/4/1,72.4421
2000/7/1,73.09852
2000/10/1,72.28021
2001/1/1,74.31159
2001/4/1,74.73908
2001/7/1,75.29786
2001/10/1,75.50074
2002/1/1,76.90209
2002/4/1,78.62709
2002/7/1,79.40897
2002/10/1,80.72569
2003/1/1,82.79774
2003/4/1,83.73604
2003/7/1,83.41665
2003/10/1,84.20658
2004/1/1,83.63482
2004/4/1,83.77861
2004/7/1,82.91162
2004/10/1,82.47577
2005/1/1,81.36304
2005/4/1,81.94468
2005/7/1,83.38712
2005/10/1,84.62949
2006/1/1,86.49133
2006/4/1,87.15087
2006/7/1,87.63275
2006/10/1,88.28183
2007/1/1,89.43413
2007/4/1,91.13505
2007/7/1,92.75321
2007/10/1,92.65096
2008/1/1,93.07382
2008/4/1,96.47416
2008/7/1,97.5095
2008/10/1,98.93796
2009/1/1,99.13864
2009/4/1,99.36738
2009/7/1,100.32075
2009/10/1,100.55813
2010/1/1,100.89507
2010/4/1,98.73917
2010/7/1,98.5493
2010/10/1,100.13873
2011/1/1,102.14697
2011/4/1,101.33719
2011/7/1,102.60039
2011/10/1,101.62351
2012/1/1,100
2012/4/1,100.58758
2012/7/1,100.01742
2012/10/1,100.01724
2013/1/1,101.3103
2013/4/1,103.65845
2013/7/1,105.73003
2013/10/1,107.95428
2014/1/1,109.95649
2014/4/1,111.8438
2014/7/1,112.90106
2014/10/1,113.70293
2015/1/1,114.58823
2015/4/1,115.62838
2015/7/1,117.24284
2015/10/1,118.18472
2016/1/1,119.19316
2016/4/1,119.54437
2016/7/1,120.74013
2016/10/1,121.2175
2017/1/1,122.16322
2017/4/1,123.56565
2017/7/1,124.61724
2017/10/1,126.79214
2018/1/1,127.57405
2018/4/1,129.18103
2018/7/1,129.86191
2018/10/1,131.63904
