DATE,MABMM201USQ189S_NBD19820101
1989/1/1,16.1965
1989/4/1,16.43846
1989/7/1,16.66166
1989/10/1,16.71981
1990/1/1,16.80797
1990/4/1,16.94302
1990/7/1,17.245
1990/10/1,17.49634
1991/1/1,17.79833
1991/4/1,18.12657
1991/7/1,18.43231
1991/10/1,18.7568
1992/1/1,19.14507
1992/4/1,19.55021
1992/7/1,19.85407
1992/10/1,20.25172
1993/1/1,20.70376
1993/4/1,21.15392
1993/7/1,21.58345
1993/10/1,22.00173
1994/1/1,22.36936
1994/4/1,22.752
1994/7/1,23.26593
1994/10/1,23.74236
1995/1/1,24.2169
1995/4/1,24.62017
1995/7/1,25.10035
1995/10/1,25.64992
1996/1/1,26.14323
1996/4/1,26.45834
1996/7/1,26.61402
1996/10/1,26.88224
1997/1/1,27.3174
1997/4/1,27.97201
1997/7/1,28.73167
1997/10/1,29.33939
1998/1/1,29.84207
1998/4/1,30.3335
1998/7/1,30.92246
1998/10/1,31.63897
1999/1/1,32.17916
1999/4/1,32.46239
1999/7/1,32.66872
1999/10/1,32.95007
2000/1/1,33.07199
2000/4/1,33.29519
2000/7/1,34.04734
2000/10/1,34.96267
2001/1/1,36.08433
2001/4/1,37.47796
2001/7/1,38.59399
2001/10/1,39.63874
2002/1/1,40.83168
2002/4/1,41.85392
2002/7/1,43.26256
2002/10/1,44.69933
2003/1/1,45.76096
2003/4/1,46.51311
2003/7/1,47.16585
2003/10/1,47.77357
2004/1/1,48.65514
2004/4/1,49.24223
2004/7/1,49.76929
2004/10/1,50.53082
2005/1/1,51.49492
2005/4/1,53.38185
2005/7/1,55.32693
2005/10/1,56.66242
2006/1/1,58.46307
2006/4/1,60.2187
2006/7/1,61.81866
2006/10/1,64.05822
2007/1/1,66.23589
2007/4/1,68.01966
2007/7/1,69.58585
2007/10/1,71.02637
2008/1/1,72.35248
2008/4/1,73.70297
2008/7/1,75.07597
2008/10/1,76.47897
2009/1/1,77.60063
2009/4/1,79.44067
2009/7/1,81.3201
2009/10/1,82.52992
2010/1/1,83.97607
2010/4/1,85.22527
2010/7/1,87.80058
2010/10/1,89.665
2011/1/1,91.19931
2011/4/1,93.66583
2011/7/1,95.32581
2011/10/1,97.7867
2012/1/1,100
2012/4/1,102.1364
2012/7/1,103.84139
2012/10/1,106.17474
2013/1/1,112.02498
2013/4/1,114.90603
2013/7/1,116.72169
2013/10/1,118.8412
2014/1/1,121.40526
2014/4/1,124.01996
2014/7/1,125.6593
2014/10/1,128.44093
2015/1/1,132.30484
2015/4/1,134.64756
2015/7/1,137.50797
2015/10/1,139.53746
2016/1/1,141.61008
2016/4/1,145.35957
2016/7/1,149.00026
2016/10/1,152.31271
2017/1/1,154.71546
2017/4/1,156.04907
2017/7/1,157.02442
2017/10/1,158.81382
2018/1/1,161.5992
2018/4/1,164.72784
2018/7/1,166.24902
2018/10/1,167.70642
